,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,region1,region2,region_1_mean,region_1_std,region_2_mean,region_2_std,p-val_fdr_corrected,p-val_bonf_corrected,p-val_holm_corrected
T-test,-5.469080543887787,117,two-sided,0.0,[-0. -0.],0.03877814761101085,4.706e+04,0.07022500412757839,ParacentralR-CaudR_NDI_pre,ParacentralR-CaudR_NDI_post,0.1820717073124198,0.029999961142809294,0.1832138981786898,0.028643196193735756,0.0,0.0,0.0
T-test,11.09142484512298,117,two-sided,0.0,[0.02 0.02],0.7866580411016826,8.785e+16,1.0,ParacentralR-CaudR_ODI_pre,ParacentralR-CaudR_ODI_post,0.21497177018682012,0.026787527334282843,0.19450001086777652,0.025008331108240658,0.0,0.0,0.0
T-test,-6.157399484897051,117,two-sided,0.0,[-0. -0.],0.0382934748405482,9.892e+05,0.06971735322409262,ParacentralR-LentiR_NDI_pre,ParacentralR-LentiR_NDI_post,0.2085444032160418,0.029256968201614376,0.20964584668180006,0.028011649668919697,0.0,0.0,0.0
T-test,-12.81686022520835,117,two-sided,0.0,[-0.02 -0.01],0.9105325831044532,8.299e+20,1.0,ParacentralR-LentiR_ODI_pre,ParacentralR-LentiR_ODI_post,0.19505645230718816,0.01761736902820378,0.21096232995966385,0.017168910485514173,0.0,0.0,0.0
T-test,-4.417564155986927,117,two-sided,2.2e-05,[-0. -0.],0.030902292568410736,698.866,0.06279261432320299,ParacentralR-SubthalR_NDI_pre,ParacentralR-SubthalR_NDI_post,0.25065879787908446,0.028650700796137664,0.25153104782291674,0.02755094606864062,3.064285714285714e-05,0.0017159999999999999,0.0005059999999999999
T-test,-24.115983433489042,117,two-sided,0.0,[-0.04 -0.03],2.0656689248883344,5.904e+43,1.0,ParacentralR-SubthalR_ODI_pre,ParacentralR-SubthalR_ODI_post,0.15910819166133722,0.016198642036292978,0.19522451910153718,0.018542089686096712,0.0,0.0,0.0
T-test,-5.599015009049109,117,two-sided,0.0,[-0. -0.],0.061066533029014616,8.232e+04,0.10087475588287803,ParacentralR-ThalfusR_NDI_pre,ParacentralR-ThalfusR_NDI_post,0.21963538311108943,0.030074422959559793,0.22141237626989985,0.027833706084424325,0.0,0.0,0.0
T-test,15.124922588114657,117,two-sided,0.0,[0.02 0.03],1.1630845831947216,1.254e+26,1.0,ParacentralR-ThalfusR_ODI_pre,ParacentralR-ThalfusR_ODI_post,0.20567584991758953,0.02103463717725874,0.18287962222609788,0.017870015974933914,0.0,0.0,0.0
T-test,8.599923397447128,117,two-sided,0.0,[0. 0.],0.08731494917805034,1.66e+11,0.15590371857807253,S1L-Brainstem_NDI_pre,S1L-Brainstem_NDI_post,0.27393986678619797,0.02263044200112471,0.2719806444557456,0.02205239100838033,0.0,0.0,0.0
T-test,-45.67444846664946,117,two-sided,0.0,[-0.04 -0.04],2.321642501595932,4.749e+72,1.0,S1L-Brainstem_ODI_pre,S1L-Brainstem_ODI_post,0.1592343806778153,0.018658005691215337,0.2015235797456438,0.017602350484398944,0.0,0.0,0.0
T-test,-6.344555355150238,117,two-sided,0.0,[-0. -0.],0.06316514534547224,2.34e+06,0.10451162446054567,S1L-CaudL_NDI_pre,S1L-CaudL_NDI_post,0.1854589753431693,0.031538018956829214,0.18740297733000963,0.02972683865686379,0.0,0.0,0.0
T-test,-21.179087061424962,117,two-sided,0.0,[-0.04 -0.04],1.577472230918637,2.881e+38,1.0,S1L-CaudL_ODI_pre,S1L-CaudL_ODI_post,0.19409030099501398,0.02817524164962122,0.2336260916907736,0.02125540110388466,0.0,0.0,0.0
T-test,-5.883164283384631,117,two-sided,0.0,[-0. -0.],0.026594859630377037,2.87e+05,0.05945715833549388,S1L-LentiL_NDI_pre,S1L-LentiL_NDI_post,0.20035144277276654,0.026626560124199297,0.20105389212054875,0.025970988405642634,0.0,0.0,0.0
T-test,-32.27295236512645,117,two-sided,0.0,[-0.03 -0.03],1.7491069028427257,3.146e+56,1.0,S1L-LentiL_ODI_pre,S1L-LentiL_ODI_post,0.2050221857183871,0.017301568204424012,0.2342329745527056,0.015929075008014427,0.0,0.0,0.0
T-test,-6.52182520428876,117,two-sided,0.0,[-0. -0.],0.01759761655940198,5.353e+06,0.054127906595528213,S1L-M1L_NDI_pre,S1L-M1L_NDI_post,0.17698747131715267,0.027585163171151974,0.17747090031481377,0.02712212840782072,0.0,0.0,0.0
