,tract,metric,uncorrected_p,corrected_p_bonf,corrected_p_fdr_bh,corrected_p_holm
122,ParacentralL-ThalfusL,MD,5.6e-05,0.014784,0.00010485106382978724,0.006944
123,ParacentralL-ThalfusL,NDI_post,2.7e-05,0.007128,5.3593984962406016e-05,0.003645
124,ParacentralL-ThalfusL,NDI_pre,2.7e-05,0.007128,5.3593984962406016e-05,0.003645
125,ParacentralL-ThalfusL,ODI_post,0.318518,1.0,0.336355008,1.0
126,ParacentralL-ThalfusL,ODI_pre,0.028906,1.0,0.03317906086956522,1.0
127,ParacentralL-ThalfusL,RD,6.8e-05,0.017952,0.00012295890410958906,0.00816
128,ParacentralR-Brainstem,AD,0.00066,0.17424,0.0009956571428571428,0.0594
129,ParacentralR-Brainstem,FA,0.008058,1.0,0.009713753424657533,0.375107
130,ParacentralR-Brainstem,MD,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
131,ParacentralR-Brainstem,NDI_post,1.2e-05,0.0031680000000000002,2.7076923076923078e-05,0.001788
132,ParacentralR-Brainstem,NDI_pre,3.1e-05,0.008184,6.062222222222223e-05,0.004030000000000001
133,ParacentralR-Brainstem,ODI_post,0.05615,1.0,0.06307914893617021,1.0
134,ParacentralR-Brainstem,ODI_pre,0.096581,1.0,0.10579827385892117,1.0
135,ParacentralR-Brainstem,RD,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
136,ParacentralR-CaudR,AD,2.7e-05,0.007128,5.3593984962406016e-05,0.003645
137,ParacentralR-CaudR,FA,0.021555,1.0,0.02495842105263158,0.797535
138,ParacentralR-CaudR,MD,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
139,ParacentralR-CaudR,NDI_post,0.0,0.0,0.0,0.0
140,ParacentralR-CaudR,NDI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
141,ParacentralR-CaudR,ODI_post,0.000322,0.085008,0.0005183414634146342,0.032522
142,ParacentralR-CaudR,ODI_pre,0.01654,1.0,0.019321061946902654,0.64506
143,ParacentralR-CaudR,RD,9e-06,0.002376,2.1214285714285713e-05,0.001404
144,ParacentralR-LentiR,AD,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
145,ParacentralR-LentiR,FA,0.000178,0.046992,0.0002955471698113207,0.018868
146,ParacentralR-LentiR,MD,1e-06,0.00026399999999999997,4e-06,0.000222
147,ParacentralR-LentiR,NDI_post,0.0,0.0,0.0,0.0
148,ParacentralR-LentiR,NDI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
149,ParacentralR-LentiR,ODI_post,0.077417,1.0,0.0858743193277311,1.0
150,ParacentralR-LentiR,ODI_pre,0.003076,0.812064,0.003923014492753623,0.178408
151,ParacentralR-LentiR,RD,1e-06,0.00026399999999999997,4e-06,0.000222
152,ParacentralR-ThalfusR,AD,0.0001,0.0264,0.00016923076923076923,0.0109
153,ParacentralR-ThalfusR,FA,0.001908,0.5037119999999999,0.0025569137055837564,0.129744
154,ParacentralR-ThalfusR,MD,2.4e-05,0.0063360000000000005,4.9889763779527555e-05,0.003336
155,ParacentralR-ThalfusR,NDI_post,8e-06,0.0021119999999999997,1.9555555555555554e-05,0.001272
156,ParacentralR-ThalfusR,NDI_pre,2e-05,0.005280000000000001,4.292682926829269e-05,0.00286
157,ParacentralR-ThalfusR,ODI_post,0.000582,0.153648,0.0008830344827586208,0.052962
158,ParacentralR-ThalfusR,ODI_pre,0.006373,1.0,0.007862018691588786,0.325023
159,ParacentralR-ThalfusR,RD,2.7e-05,0.007128,5.3593984962406016e-05,0.003645
160,S1L-Brainstem,AD,9.9e-05,0.026136,0.00016861935483870966,0.010889999999999999
161,S1L-Brainstem,FA,0.573344,1.0,0.588960373540856,1.0
162,S1L-Brainstem,MD,1e-05,0.0026400000000000004,2.3362831858407083e-05,0.00152
163,S1L-Brainstem,NDI_post,0.001272,0.335808,0.001749,0.094054
164,S1L-Brainstem,NDI_pre,0.005268,1.0,0.006590037735849057,0.284472
165,S1L-Brainstem,ODI_post,0.000485,0.12804000000000001,0.0007576331360946747,0.046560000000000004
166,S1L-Brainstem,ODI_pre,9.1e-05,0.024024,0.000156,0.010101
